priority,key,type,OAG codes,held?,2025 sectors,carriers,OAG med seats,OAG med prem,OAG med km,OAG max km,cells left,econ_seats,bus_seats,mtow_kg,range_km,fuel_burn_kg_per_bh,burn basis (block/trip/cruise),cargo_cap_kg,maint_per_bh,crew_per_bh,ownership_per_bh,annual_util_bh,price_usd,current market value USD,value: age or build year,monthly lease USD,lease: age or build year,condition assumed (half-life / full-life),source,source date,notes,existing Avia provenance,status,burn_basis_resolved,flags
58,E290,Embraer 190 E2,290,MISSING,30797,6,110,0,950,3401,12,84,12,56400,5463,,,3500,,,,,,,,,,,See below,2026-08-10 00:00:00,,,new-sourced,,
59,A343,Airbus A340-300,343,MISSING,30350,13,279,30,6439,9384,12,305,30,276500,13149,,,14200,,,,,,,,,,,https://www.aircraft.airbus.com/sites/g/files/jlcbta126/files/2024-11/AC_A340-200_300_1124.pdf,2026-08-11 00:00:00,Seats as stated in Airbus airport planning manual,,new-sourced,,
61,A31N,Airbus A319neo,31N,MISSING,27178,2,133,4,1209,3275,12,180,0,75500,6850,,,977 cubic feet,,,,,,,,,,,,,Seats assumed to be identical to A319,,open,,"AMBER: seats 180 inconsistent with own note (assumed identical to A319; A319 exit limit is 160). Cargo recorded as volume (977 cubic feet), not hold weight per rule 4. Query with Stefan; do not use these two fields."
64,E120,Embraer 120 Brasilia,EM2,MISSING,23814,10,30,0,232,1473,12,30,0,11500,1964,,,550,,,,,,,,,,,See below,2026-08-10 00:00:00,,,new-sourced,,
33,AT42,ATR 42,AT4,MISSING,188068,34,48,0,256,1928,11,48,0,18600,1326,635.669710806697,"BLOCK, ATR family specifications, sample of 2",,,,,,,,,,,,https://web.archive.org/web/20181030170453/http://www.atraircraft.com/products_app/media/pdf/FAMILY_septembre2014.pdf,2026-08-11 00:00:00,Refers to the -500,,new-sourced,BLOCK,
9,E175,Embraer 175,"E75, E7W",MISSING,1417512,16,76,12,732,2913,10,86,0,40370,4074,1581,"BLOCK, US DOT Form 41 2023 over the T-100 measured block ratio",2650,,,,,,,,,,,See below,2026-08-10 00:00:00,Refers to the AR,,new-sourced,BLOCK,
24,CRJ700,Canadair Regional Jet 700,CR7,MISSING,327031,9,65,9,634,2554,10,74,0,34019,2593,1542,"BLOCK, US DOT Form 41 2023 over the T-100 measured block ratio",2438,,,,,,,,,,,https://web.archive.org/web/20210901020604/https://mhirj-preview-files.s3-us-west-2.amazonaws.com/mhirj/2020-12/MHIRJ_CRJ700_Factsheet_En_V1_web.pdf,2026-08-12 00:00:00,,,new-sourced,BLOCK,
40,CRJ550,Bombardier Regional Jet 550,CR5,MISSING,132156,2,50,10,465,1399,10,50 (triple class),-,29484,1852,1988,"TRIP, US DOT Form 41 P-5.2 2023",2438,,,,,,,,,,,https://web.archive.org/web/20210829180328/https://mhirj-preview-files.s3-us-west-2.amazonaws.com/mhirj/2020-12/MHIRJ_CRJ550_Factsheet_EN_V1_web.pdf,2026-08-10 00:00:00,,,new-sourced,TRIP,
43,DH8C,DHvilld-Bombardier DHC8-300 Dsh 8/8Q,DH3,MISSING,100087,27,50,0,251,1611,10,50,0,19500,1705,469.7779815441176,"BLOCK, DHC operator's manual, sample of 6",320 cubic feet,,,,,,,,,,,airport planning doc / https://www.aircraft-commerce.com/wp-content/uploads/aircraft-commerce-docs/Aircraft%20guides/DASH%208%20&%20Q%20SERIES/ISSUE63_DASH8GUIDE.pdf,2026-08-11 00:00:00,,,new-sourced,BLOCK,
44,DH8A,DHvilld-Bombardier DHC8-100 Dsh 8/8Q,DH1,MISSING,96183,16,39,0,208,998,10,37,0,15650,2146,423.6915435273388,"BLOCK, DHC operator's manual, sample of 6",300 cubic feet,,,,,,,,,,,airport planning doc / https://www.aircraft-commerce.com/wp-content/uploads/aircraft-commerce-docs/Aircraft%20guides/DASH%208%20&%20Q%20SERIES/ISSUE63_DASH8GUIDE.pdf,2026-08-11 00:00:00,Refers to the -102,,new-sourced,BLOCK,
51,B77L,Boeing 777-200LR,77L,MISSING,49308,7,302,38,5237,14526,10,237,42,347814,15844,7132,"TRIP, US DOT Form 41 P-5.2 2023",5656 cubic feet,,,,,,,,,,,https://www.boeing.com/content/dam/boeing/v2/airports/acaps/777-200LR-300ER-F_Rev_G.pdf,2026-08-14 00:00:00,Seats as stated in Boeing airport planning manual,,new-sourced,TRIP,
52,ERJ135,Embraer RJ135,ER3,MISSING,45332,8,37,0,443,3991,10,37,0,20000,3243,781.9914491091614,"BLOCK, ERJ operator's manual, sample of 8",1000,,,,,,,,,,,See below,2026-08-10 00:00:00,,,new-sourced,BLOCK,
54,DH8B,DHvilld-Bombardier DHC8-200 Dsh 8/8Q,DH2,MISSING,37560,10,37,0,220,1571,10,37,0,16466,2003,454.5911779577328,"BLOCK, DHC operator's manual, sample of 6",300 cubic feet,,,,,,,,,,,airport planning doc / https://www.aircraft-commerce.com/wp-content/uploads/aircraft-commerce-docs/Aircraft%20guides/DASH%208%20&%20Q%20SERIES/ISSUE63_DASH8GUIDE.pdf,2026-08-11 00:00:00,,,new-sourced,BLOCK,
57,MD82,Boeing (douglas) MD-82,M82,MISSING,31235,8,165,0,752,7001,10,155,0,67812,5000,2539,"TRIP, US DOT Form 41 P-5.2 2023",1253 cubic feet,,,,,,,,,,,https://www.boeing.com/content/dam/boeing/v2/airports/acaps/MD80.pdf,2026-08-14 00:00:00,,,new-sourced,TRIP,
20,ERJ145,Embraer RJ145,"ER4, ERJ",MISSING,405104,39,50,0,453,3935,9,50,0,22000,2873,1012,"BLOCK, US DOT Form 41 2023 over the T-100 measured block ratio",1200,,,,,,,22,,,,See below,2026-08-10 00:00:00,,,new-sourced,BLOCK,
29,CRJ200,Canadair Regional Jet,"CR2, CRJ",MISSING,236157,18,50,0,480,12321,9,48,0,24041,3148,1029,"BLOCK, US DOT Form 41 2023 over the T-100 measured block ratio",314 cubic feet,,,,,,,21,,,,https://customer.aero.bombardier.com/webd/BAG/CustSite/BRAD/RACSDocument.nsf/51aae8b2b3bfdf6685256c300045ff31/ec63f8639ff3ab9d85257c1500635bd8/$FILE/ATT1ES4H.pdf/CRJ200APMR8.pdf,2026-08-10 00:00:00,Refers to the LR,,new-sourced,BLOCK,
8,ATR72,ATR 72,,held,1451606,,,,,,6,70,0,23000,1500,620,,0,380,470,360,2200,20000000,,,,,,,,,EUROCONTROL Dash8 + turboprop benchmark; burn ATR factsheet,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
15,CRJ900,Canadair Regional Jet 900,,held,696797,,,,,,6,76,12,38300,2900,1474,,2756,520,640,560,1900,25000000,,,,,,https://web.archive.org/web/20210830204131/https://mhirj-preview-files.s3-us-west-2.amazonaws.com/mhirj/2020-12/MHIRJ_CRJ900_Factsheet_En_V1_web.pdf,,,"burn: US DOT Form 41 P-5.2 2023 fuel issued over airborne hours, blocked with the T-100 measured ratio 0.708 (was 1,100, 0.75x actual); rest FAA YE2023 RJ61-99 category",held,BLOCK (from provenance),
16,DH8D,DHvilld-Bombardier DHC8 Dsh 8-400/8Q,,held,638304,,,,,,6,78,0,30000,2000,720,,0,430,520,440,2200,25000000,,,,,,,,,"EUROCONTROL Dash8 $1,921/fh all-in; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
26,B735,Boeing 737-500 (winglets) Passenger,,held,261040,,,,,,6,152,8,61689,2963,2186,,4460,735,940,572,2300,28597500,,,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce block, flight-planned; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
28,E195,Embraer 195,,held,251623,,,,,,6,120,0,52300,4800,2116,,0,540,720,760,1900,27000000,,,,,,See below,,,"burn: SCALED from the corrected E190 on the module's own prior E195/E190 ratio of 1.085; no US operator files P-5.2 for the type, so derived, not measured; rest FAA RJ category",held-amber-proxy,UNSTATED - do not convert; query,Burn basis not stated in provenance.
34,A388,Airbus A380-800 Passenger,,held,179388,,,,,,6,427,90,575000,14800,12019,,3890,3113,3276,3113,4500,147436000,,,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce block, flight-planned; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from B77W on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
35,C909,Comac ARJ21-700,,held,179286,,,,,,6,90,0,43500,3300,2204,,0,600,713,500,1708,20000000,,,,,,,,,"PROXY (ARJ21-700, renamed C909): E190 anchors + premium; CF34-10A burn ~E190+13%, carried through the E190 correction of 10 Aug 2026; seats/MTOW/range published",held-amber-proxy,UNSTATED - do not convert; query,Burn basis not stated in provenance.
39,B773,Boeing 777-300 Passenger,,held,132904,,,,,,6,351,42,299370,11140,6683,,0,1283,1818,2887,4400,160377000,,,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce block, flight-planned; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A359 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
45,A221,Airbus A220-100 Passenger,,held,90181,,,,,,6,97,12,63730,6700,1711,,3760,760,971,591,2300,29543700,,,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
46,SF34,Saab 340,,held,89692,,,,,,6,50,0,22000,1700,600,,0,300,420,300,2000,8000000,,,,,,,,,turboprop benchmark; burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
56,B753,Boeing 757-300 Passenger,,held,32963,,,,,,6,210,24,122449,6420,3343,,0,1325,1742,1641,2300,69429800,,,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio (thin: 116 hours, United and Delta; Aircraft Commerce gives 3,573 to 4,101); range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A21N on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
63,C919,Comac C919,,held,25352,,,,,,6,156,8,77900,5500,2400,,0,1100,1300,1100,2300,50000000,,,,,,,,,PROXY: A320-family anchors + early-type premium; LEAP-1C burn ~ceo level; ER seats/MTOW/range published; value well below $99m list,held-amber-proxy,UNSTATED - do not convert; query,Burn basis not stated in provenance.
67,B748,Boeing 747-8 Passenger,,held,21580,,,,,,6,276,88,447696,14310,10089,,16920,2423,2551,2423,4500,114794000,,,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce Issue 113 passenger 747-8, 9,300 to 10,878 block, midpoint. The Form 41 2023 row is UPS, Polar and Atlas, i.e. FREIGHTERS, on 204 hours: different empty weight, zero-fuel weight and mission, so not usable here; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from B77W on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
68,A21X,,,held,0,,,,,,6,162,20,101000,8700,2500,,2000,1100,1500,1500,2400,65000000,,,,,,,,,A321neo + weight delta (NO clean XLR public data); burn A321LR proxy,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
1,A320,Airbus A320,,held,7731693,,,,,,5,180,0,78000,6100,2400,,0,1000,1300,900,2300,45000000,,20,,,,,,,"FAA NB<165k (Belobaba A320 2013 non-fuel ~2,094 inflated); burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
2,B738,Boeing 737-800 Passenger,,held,6630120,,,,,,5,189,0,79000,5400,2600,,0,1000,1300,900,2300,45000000,,16,,,,,,,"FAA NB<165k; EUROCONTROL 737NG $4,337/fh; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
3,A321,Airbus A321,,held,2853409,,,,,,5,200,16,93500,5900,2750,,0,1100,1380,950,2300,50000000,,10,,,,,,,FAA NB>=165k; burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
4,B38M,Boeing 737MAX 8 Passenger,,held,2349230,,,,,,5,189,0,82000,6500,2250,,0,980,1300,1300,2300,52000000,,3,,,,,,,FAA NB + MAX lease premium; burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
5,A20N,Airbus A320neo,,held,2067427,,,,,,5,186,0,79000,6500,2050,,0,960,1300,1200,2300,50000000,,5,,,,,,,FAA NB + neo lease premium (IBA ~$400k/mo); burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
6,A21N,Airbus A321neo,,held,1878681,,,,,,5,206,16,97000,7400,2400,,0,1050,1380,1300,2300,55000000,,2,,,,,,,FAA NB>=165k + neo lease (IBA ~$460k/mo); burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
7,A319,Airbus A319,,held,1481167,,,,,,5,144,0,75500,6700,2200,,0,900,1150,700,2300,35000000,,22,,,,,,,FAA YE2023 NB<165k; burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
10,B737,Boeing 737-700 (winglets) Passenger,,held,990963,,,,,,5,137,2,70080,6037,2176,,5181,835,1067,650,2300,32487400,,20,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
11,B789,Boeing 787-9,,held,812820,,,,,,5,290,30,254000,14000,5400,,14000,1050,1650,2500,4300,135000000,,6,,,,,,,EUROCONTROL 787 + IBA lease ~$1.0m/mo; burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
12,B739,Boeing 737-900 Passenger,,held,787238,,,,,,5,161,19,85139,4750,2397,,4877,1018,1350,1350,2300,53990600,,11,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from B38M on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
13,B77W,Boeing 777-300ER Passenger,,held,744448,,,,,,5,340,40,351000,13600,7500,,20000,1900,2000,1900,4500,90000000,,9,,,,,,,"EUROCONTROL 777 $9,507/fh; large WB; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
14,A333,Airbus A330-300,,held,713256,,,,,,5,277,30,233000,11300,6000,,15000,964,1500,1800,3800,90000000,,16,,,,,,,"LHLCC 2015 (fuel $3,012/maint $964 per BH); Belobaba A330 non-fuel anchor; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
17,E190,Embraer 190,,held,615836,,,,,,5,88,10,51800,4500,1950,,0,529.1,712.9,731.7,1708,6270000,,16,,,,See below,2026-08-10 00:00:00,,"burn: SCALED from the well-sampled E170/E175 Form 41 2023 cluster, NOT from the type's own row, which is JetBlue alone on 102 airborne hours during the year it retired the fleet and reads 46% above a heavier-per-tonne E175; corroborated by Aircraft Commerce Issue 64 at 1,923-1,980 block (was 1,105.5)",held-amber-proxy,BLOCK (from provenance),
18,A359,Airbus A350-900,,held,613742,,,,,,5,300,36,280000,15000,5800,,16000,1200,1700,2700,4400,150000000,,5,,,,,,,A350 newest; FAA WB + lease; burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
19,A223,Airbus A220-300 Passenger,,held,464662,,,,,,5,140,0,70896,6300,2191,,5052,845,1080,657,2300,32865700,,2,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
21,B788,Boeing 787-8,,held,366594,,,,,,5,242,28,228000,13500,5000,,12000,950,1550,2200,4200,115000000,,8,,,,,,,"EUROCONTROL 787 $7,184/fh; Belobaba WB non-fuel anchor; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
22,B39M,Boeing 737MAX 9 Passenger,,held,345007,,,,,,5,163,16,88314,6110,2011,,0,1039,1303,897,2300,47226700,,2,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A321 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
23,E170,Embraer 170,,held,334259,,,,,,5,62,10,38600,3900,1431,,0,470,650,560,1708,25000000,,10,,,,See below,2026-08-10 00:00:00,,"burn: US DOT Form 41 P-5.2 2023, T-100 block ratio 0.715 (was 920, 0.64x actual); rest Maverick Cost/BH + FAA RJ",held,BLOCK (from provenance),
25,B772,Boeing 777 Passenger,,held,264015,,,,,,5,239,43,297556,13084,6046,,0,1275,1807,2869,4400,159405000,,25,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A359 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
27,A332,Airbus A330-200,,held,261009,,,,,,5,244,20,242000,13450,5345,,0,1001,1558,1870,3800,93476400,,19,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A333 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
31,B717,Boeing 717-200,,held,201002,,,,,,5,98,12,54885,3815,2104,,0,654,836,509,2300,25443400,,24,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
32,B763,Boeing 767-300 Passenger,,held,190064,,,,,,5,245,24,186000,11000,5200,,10000,1600,1500,900,3500,30000000,,30,,,,,,,"EUROCONTROL 767 $6,675/fh; old type low ownership; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
37,A339,Airbus A330-900neo,,held,154217,,,,,,5,287,30,251000,13300,5400,,15000,1100,1600,2600,4000,110000000,,3,,,,,,,A330 anchor + neo lease (IBA ~$800-900k/mo); burn published,held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
42,B781,Boeing 787-10,,held,102089,,,,,,5,280,38,254011,11750,5500,,13000,1050,1650,2500,4300,135006000,,5,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce Issue 121, GEnx-1B at 337 seats, 5,199 to 5,552 block. The Form 41 row is United alone on 101 hours and reads BELOW the 787-9, which a heavier stretch does not do; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from B789 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
47,B733,Boeing 737-300 Passenger,,held,86289,,,,,,5,143,0,63276,2963,2325,,0,754,964,587,2300,29333200,,29,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce block, flight-planned; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
50,B752,Boeing 757-200 Passenger,,held,69820,,,,,,5,199,0,115000,7200,3300,,2000,1100,1400,600,2800,20000000,,26,,,,,,,"EUROCONTROL 757 $5,357/fh; old type low ownership; burn published",held,UNSTATED - do not convert; query,Burn basis not stated in provenance.
53,B764,Boeing 767-400 Passenger,,held,39904,,,,,,5,184,54,204116,10371,4909,,0,1756,1646,988,3500,32921900,,24,,,,,,,"seats OAG 2025 median; burn Form 41 2023 + T-100 block ratio (thin: 146 hours, Delta and United; corroborated by Aircraft Commerce at 5,000); range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from B763 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
66,B734,Boeing 737-400 Passenger,,held,21843,,,,,,5,165,0,68039,3889,2494,,0,811,1036,631,2300,31541300,,34,,,,,,,"seats OAG 2025 median; burn Aircraft Commerce block, flight-planned; range and MTOW researched 10 Aug 2026; maint, crew, ownership, price and utilisation SCALED from A319 on the MTOW ratio, not sourced",held-amber-proxy,BLOCK (from provenance),
